title,description
All-New Inhumans (2015) #7,"AN ALL-NEW ADVENTURE STARTS NOW! The Unpredicable Anna Kravinoff (a.k.a., one of the Kraven family) joins the cast and leads Crystal and her crew to the wilds of Africa in search of a hidden Inhuman enclave that holds answers to Flint’s past. Who are these isolationist Inhumans and why was Flint sent away at such a young age?! Those answers will cause the All-New Inhumans all kinds of problems."
All-New Inhumans (2015) #8,Flint is finally reunited with his family! But are they and their Inhuman tribe all that they appear to be? And what exactly is Anna Kravinoff up to??\n
All-New Wolverine (2015) #7,"The battle has been fought, and won—but at what cost? As Laura and Gabby attempt to move on with their lives, Wolverine’s past seems destined to catch up with her, and wreak havoc. Logan’s legacy has cast a long shadow, how can Laura hope to step out of it?"
All-New Wolverine (2015) #7,"The battle has been fought, and won—but at what cost? As Laura and Gabby attempt to move on with their lives, Wolverine’s past seems destined to catch up with her, and wreak havoc. Logan’s legacy has cast a long shadow, how can Laura hope to step out of it?"
All-New Wolverine (2015) #8,WAY OF THE SHADOW! What is the thing LAURA KINNEY fears most? Is she truly the BEST AT WHAT SHE DOES? There is only one WOLVERINE. Or is there?!!
All-New Wolverine (2015) #9,"On the road to CIVIL WAR II! LAURA and LOGAN. We’ve seen it before. But this isn’t the man Laura once knew. OLD MAN LOGAN has stepped out of a dystopian future and into our world. His past full of horrors, he’s about to bring a lot of baggage, and carnage, Laura’s way. With a CIVIL WAR set to divide the heroes’ world, will Old Man Logan and WOLVERINE stand together against the coming nightmare? Or will they shred each other apart?"
All-New X-Men (2015) #10,"The ALL-NEW X-MEN are on a mission to write their own futures…and none is more determined to escape their destiny than Evan Sabahnur, who is to one day become the next host for the genocidal villain APOCALYPSE. But now, by way of unintentional intervention by his teammate Beast, Evan finds himself thousands of years in the past, in Egypt…and on the run alongside his predecessor, En Sabah Nur, the boy who will one day become Apocalypse himself! To change his future, will Evan literally change the course of history? Or will he instead be Apocalypse’s first victim??\n"
All-New X-Men (2015) #8,"MUTANTS AND…MAGIC?! As young Beast continues to struggle with his new life in the present day Marvel Universe, he turns to another man of science for guidance—former surgeon and present day sorcerer supreme, Doctor Strange! But seeing as Strange has put down his scalpel to pick up a spellbook, Beast might be receiving very different answers than he was hoping for…"
All-New X-Men (2015) #8,"MUTANTS AND…MAGIC?! As young Beast continues to struggle with his new life in the present day Marvel Universe, he turns to another man of science for guidance—former surgeon and present day sorcerer supreme, Doctor Strange! But seeing as Strange has put down his scalpel to pick up a spellbook, Beast might be receiving very different answers than he was hoping for…"
All-New X-Men (2015) #9,"“APOCALYPSE WARS” CONTINUES! The ALL-NEW X-MEN’s entry into “APOCALYPSE WARS” starts here! The ALL-NEW X-MEN are on a mission to step out of the shadows of their predecessors and write their own futures. And none are more determined to forge their own way than Evan Sabahnur, who is allegedly destined to one day become the genocidal villain APOCALYPSE. But now, by way of an unintentional intervention by his teammate Beast, Evan is brought face-to-face with Apocalypse himself…and also brought face-to-face with the question he’s been running from: Can you escape your destiny?"
"All-New, All-Different Avengers (2015) #10",The Search for Nova’s father begins! The Avengers join Sam Alexander for a spacefaring mission to find Nova’s lost father--\nonly to find themselves trapped on a galactic prison planet!
"All-New, All-Different Avengers (2015) #11","The Avengers--captives on the Stalag of Space! Its mysterious alien warden cannot be beaten by conventional means, but the Avengers’ prison break will take them into an even more dangerous realm!"
"All-New, All-Different Avengers (2015) #9",New Story Starts NOW! Introducing the all-new Wasp! Who is she? What is she? And what does she intend to do about Earth’s Mightiest Heroes?
Amadeus Cho: Genius at Work (Trade Paperback),"Get to know Cho! That's teen genius Amadeus Cho, the seventh smartest person in the world - but who's counting? When Cho is declared ""Mastermind Excello"" by an intelligence contest, his life suddenly spins out of control - and now he'll need all his smarts just to stay alive! Luckily, Cho - and his adorable coyote pup, Kirby - quickly meet and befriend two of the Marvel Universe's strongest powerhouses: Hercules and the Incredible Hulk! When Cho investigates his sister's fate, a complex web begins to unravel. Who has been manipulating him? And why? Can the seventh smartest person on the planet solve the riddle of his own past and future? Collecting material from AMAZING FANTASY (2004) #15; INCREDIBLE HULK (2000) #100; and INCREDIBLE HERCULES #126, #133, #135 and #137."
Amazing Spider-Man (2015) #1.6,Spider-Man and the Santerians team up to fight a foe that will shake what faith they have!
Amazing Spider-Man (2015) #11,"The 13th sign of the Zodiac is THE SPIDER?!?!?! Scorpio is on the verge of controlling the future and Spider-Man’s fight will take him on both sides of the English Channel. But when Scorpio compromises Parker Industries, what will this mean for Peter moving forward?!"
Amazing Spider-Man (2015) #12,"• POWER PLAY begins now! The Amazing Spider-Man, Iron Man, Spider-Man and the rest of the All-New All-Different Avengers come together for this huge story! The most dangerous foe from SECRET WARS, REGENT makes his true intentions known – and it will take the greatest heroes of the Marvel Universe to stop him.\n"
Amazing Spider-Man (2015) #13,POWER PLAY CONTINUES! Things aren’t going well between the Amazing Spider-Man and the Invincible Iron Man and their conflict is opening the door for Regent and his plan against our heroes! Now that Regent has started imprisoning HEROES and stealing their powers things have gone from bad to worse.
Amazing Spider-Man (2015) #14,Things aren’t going well between the Amazing Spider-Man and the Invincible Iron Man and their conflict is opening the door for Regent and his plan against our heroes! Now that Regent has started imprisoning HEROES and stealing their powers things have gone from bad to worse.
Amazing Spider-Man Vol. 2 (Hardcover),"The Spider-Verse is here! When the Inheritors begin exterminating spider-characters throughout the multiverse, every single Spider-Man ever is needed to save the day! A spider-army gathers, including Miles Morales, Spider-Gwen, Silk, Spider-Woman, Mayday Parker, Kaine, Ben Reilly, Spider-Man 2099, Spider-Ham and scores more...but how can they defeat Morlun's deadly family when Peter faces a power struggle against a ghost from his past: Doctor Octopus, the Superior Spider-Man?! COLLECTING: Amazing Spider-Man #7-18, Superior Spider-Man #32-33, Free Comic Book Day 2014 (Guardians of the Galaxy) #1 (Spider-Man story)."
AMAZING SPIDER-MAN: WORLDWIDE VOL. 1 (Trade Paperback),"Spider-Man has gone global! Parker Industries is more successful than ever, with offices in New York, Shanghai, London and San Francisco and Peter Parker is racking up the frequent flyer miles with his ""bodyguard"" Spider-Man in tow, of course. But success breeds enemies, and a reinvigorated Zodiac has also widened its scope to threaten the whole world. Join Dan Slott and Giuseppe Camuncoli as they take Spider-Man to the next level! This huge first issue also includes stories featuring Silk, Spidey 2099, Spider-Woman and much more! COLLECTING: AMAZING SPIDER-MAN (2015) #1-5."
Angela: Queen of Hel (2015) #7,"An ancient evil slithers into New York City, making living horrors out of fables and folklore. Angela, Sera, Leah, and Thor race to defeat THE FAUSTIAN QUEEN before she rewrites the world into a story of her very own.\n"
Angela: Queen of Hel (2015) #7,"An ancient evil slithers into New York City, making living horrors out of fables and folklore. Angela, Sera, Leah, and Thor race to defeat THE FAUSTIAN QUEEN before she rewrites the world into a story of her very own.\n"
Ant-Man: So (Trade Paperback),"It's the origin of the original Avenger, Ant-Man! Hank Pym has been known by a variety of names - including Ant-Man, Giant-Man, Goliath and Yellowjacket - he's been an innovative scientist, a famed super hero, an abusive spouse and more. What demons drive a man like Hank Pym? And how did he begin his heroic career? "
Black Panther (2016) #1,"A new era for the Black Panther starts here! Written by MacArthur Genius and National Book Award winner TA-NEHISI COATES (Between the World and Me) and illustrated by living legend BRIAN STELFREEZE, “A Nation Under Our Feet” is a story about dramatic upheaval in Wakanda and the Black Panther’s struggle to do right by his people as their ruler. The indomitable will of Wakanda -- the famed African nation known for its vast wealth, advanced technology and warrior traditions -- has long been reflected in the will of its monarchs, the Black Panthers. But now the current Black Panther, T’Challa, finds that will tested by a superhuman terrorist group called The People that has sparked a violent uprising among the citizens of Wakanda. T’Challa knows the country must change to survive -- the question is, will the Black Panther survive the change?"
Black Panther (2016) #2,"The darkest chapter of the Black Panther mythos continues as Wakanda crumbles from within. Enter: The Midnight Angels! Two mysterious women leading the citizen revolt against the current regime of Wakanda, challenging not only T’Challa’s politics but also his resolve. But will their rage provide more for the people than the royal family has thus far? Written by MacArthur Genius and National Book Award winner TA-NEHISI COATES (Between the World and Me) and illustrated by living legend BRIAN STELFREEZE!\n"
Black Panther (2016) #3,"The most anticipated Marvel series since Whedon & Cassaday’s Astonishing X-Men! The Midnight Angels continue the liberation of Wakanda with extreme prejudice, and T’Challa’s indecisions could cost him more than just the throne. Coates and Stelfreeze weave a quintessential Black Panther tale that will change the tapestry of the Marvel Universe forever.\n"
Black Panther by Christopher Priest: The Complete Collection Vol. 3 (Trade Paperback),"It's Black Panther vs. Iron Man (with Wolverine in the middle) in the blockbuster sequel to Enemy of the State II! Secrets are revealed, punches are thrown and King Solomon's Frogs wreak havoc...but who is the second Panther? Plus: Flash forward to T'Challa's old age, where the once and future king has washed his hands of the outside world. Will he come out of retirement to save Everett K. Ross' life? And travel back to the Old West, as T'Challa finds himself in the middle of 1986's THOR #370! COLLECTING: BLACK PANTHER (1998) #36-49, #57-58; INCREDIBLE HULK (2000) #33; THOR (1966) #370; MATERIAL FROM MARVEL DOUBLE-SHOT #2.\n"
Black Widow (2016) #3,"RED ROOM BY MORNING, SPIES TAKE WARNING The Weeping Lion has Black Widow under his thumb. Until Natasha learns his true motivations, she’s trapped playing his personal weapon and spy…he’s controlling the best in the world, and sending her to the place she never wanted to go: home."
Black Widow (2016) #4,"Nearly dead after her last mission, Natasha struggles to complete her latest assignment from the Weeping Lion. But she’ll get by with a little help from old friends…although old enemies lie in wait. She must recover the missing files from the Red Room by infiltrating its newest incarnation…the Dark Room.\n"
Brilliant (2011) #6,The runaway creator-owned smash continues! From the award-winning creators of ULTIMATE SPIDER-MAN comes another blistering chapter in a world where college students discover the secret of superpowers - and now that secret is out! How will the world react when science fiction becomes science fact?
Brilliant (2011) #7,"From the award-winning creators behind ULTIMATE SPIDER-MAN and AVENGERS ASSEMBLE comes the shocking creator-owned series that gives you something very different than a regular superhero comic and asks the question: How would the world react if a group of brilliant college students actually discovered the secret of superpowers? Well now, the secret is out!"
Captain America 75th Anniversary Magazine (2016) #1,"Celebrate the birthday of a living legend with an All-New, All-Different, ALL-FREE commemoration of 75 years of Captain America! From fans' first impression of Steve Rogers socking evil in the jaw, to Sam Wilson wielding the shield today, this magazine has it all - bringing you fully up to date with Cap's comics and films! From a guide to the firmest friends and fiercest foes of Cap's storied history, to an in-depth look at his timeless costume, to features focusing on some of the finest creators ever to write or draw the Sentinel of Liberty - including John Romita Sr., Mark Gruenwald, Mark Waid and the King himself, Jack Kirby! Do your patriotic duty and take home this FREE slice of red, white and blue. Happy birthday, Captain - we salute you!"
Captain America 75th Anniversary Magazine (2016) #1,"Celebrate the birthday of a living legend with an All-New, All-Different, ALL-FREE commemoration of 75 years of Captain America! From fans' first impression of Steve Rogers socking evil in the jaw, to Sam Wilson wielding the shield today, this magazine has it all - bringing you fully up to date with Cap's comics and films! From a guide to the firmest friends and fiercest foes of Cap's storied history, to an in-depth look at his timeless costume, to features focusing on some of the finest creators ever to write or draw the Sentinel of Liberty - including John Romita Sr., Mark Gruenwald, Mark Waid and the King himself, Jack Kirby! Do your patriotic duty and take home this FREE slice of red, white and blue. Happy birthday, Captain - we salute you!"
Captain America: Dark Designs Prose Novel (Hardcover),"Captain America has battled soldiers, terrorists and villains of all kinds. Now he'll face a far more complicated enemy: his own body. When S.H.I.E.L.D. discovers that Cap is harboring an extinction-level pathogen hidden in his cells for decades, Cap's greatest fear is realized: Until the virus can be cured, he'll have to go into deep freeze. But he won't be alone. Years ago, Cap's greatest enemy managed the biggest coup of his career when he implanted his mind into a clone of Steve Rogers' body - virus and all. And Red Skull isn't the sacrificial type. Cap will have to put his archnemesis on ice - without exposing the virus. Can Cap stay alive along enough to capture Red Skull and return to his deepest nightmare? It's a battle for perfect symmetry in this original prose novel!"
Captain America: Road to War (2016) #1,"CAPTAIN AMERICA and BLACK WIDOW must train the new Avengers recruits to work together as a team. Their first mission: stop the giant robot, ULTIMO! Featuring SCARLET WITCH, VISION, FALCON and WAR MACHINE! Bonus TALES OF SUSPENSE #58 included."
Captain America: Road to War (2016) #1,"CAPTAIN AMERICA and BLACK WIDOW must train the new Avengers recruits to work together as a team. Their first mission: stop the giant robot, ULTIMO! Featuring SCARLET WITCH, VISION, FALCON and WAR MACHINE! Bonus TALES OF SUSPENSE #58 included."
Captain America: Sam Wilson (2015) #10,"CIVIL WAR II TIE-IN! In a time of crisis, Sam is called upon to honor a fallen hero-- and speak to a divided nation. But is anyone listening?\n"
Captain America: Sam Wilson (2015) #8,"A STANDOFF tie-in! Captain America Unite! Sam Wilson, Steve Rogers, and Bucky Barnes team up for a heroic stand against the evil that lurks in Pleasant Hill. Continues the blockbuster spring Avengers event, STANDOFF!"
Captain America: Sam Wilson (2015) #9,"STANDOFF Epilogue! With Steve Rogers back as Cap, Sam struggles to find his place. Can the country handle two Captain Americas?"
Captain America: Steve Rogers (2016) #1,"He’s back! The original Sentinel of Liberty returns, with a new shield, a new team, and a new mission! And he’s not the only one who’s back! Like the saying goes-- cut off one LIMB, two more will take its place! HAIL HYDRA!"
Captain America: Steve Rogers (2016) #2,"As Steve battles a resurgent Hydra more dangerous than ever before, he must confront a ghost from his past!"
Captain Marvel (2016) #4,"As the situation with the Eridani delegates escalates, Captain Marvel and her crew struggle to make sense of what happened on the mysterious alien craft. But between her powers failing and Wendy’s character being called into question, Carol’s command of Alpha Flight is slowly slipping from her grasp."
Captain Marvel (2016) #6,"CIVIL WAR II TIE-IN! Old friends face off as enemies in an event that will change Captain Marvel’s life forever. As war erupts, Carol finds herself at the forefront of battle. But after tragedy hits too close to home, how far will Carol go to fight for what she believes in? This is Captain Marvel at her finest. In her toughest fight yet.\n"
Carnage (2015) #7,"Carnage has evolved to the next level and the world is in deep trouble. Powered up, Carnage has set his sights far wider than ever before and with this new power and his general psychopathic tendencies, the oceans are going to be red with blood. Can Man-Wolf, Toxin and crew possibly contain him?\n"
Carnage (2015) #8,"Carnage’s adventure across the high seas continues, and he’s leaving a trail of bodies in his wake! Who is Victoria Montesi and is she friend or foe! Toxin, Man-Wolf and Co. will find out soon but they may not like it."
Carnage (2015) #9,"What’s that old nautical adage? “Red sky in the morning, sailors warning, red sky at night, sailor’s delight. Carnage on board? Sailors are in trouble.” I think that was it. Anchors are away and our heroes are in trouble as Carnage’s new powers make him even MORE dangerous. The Darkhold is leading Carnage on the most intense spree he’s ever been on and the whole world is in trouble.\n"
Civil War II  (2016),From the creative team that brought you House of M and Siege comes a blistering first chapter in Marvel’s new explosive event. Watch as the players are introduced and the table is set for a storyline that fans will be talking about for years.
Civil War II (2016),From the creative team that brought you House of M and Siege comes a blistering first chapter in Marvel’s new explosive event. Watch as the players are introduced and the table is set for a storyline that fans will be talking about for years.
Civil War II (2016) (2016) #2,"Two issues in one month? Hell yes! As the Marvel Universe reels from the events of the first issue, Tony Stark decides to take matters (and the law) into his own hands and declares war on the Inhumans. But not everyone agrees with Tony’s perspective and they are willing to die trying to stop him."
Civil War II: Amazing Spider-Man (2016) #1,"THE AMAZING SPIDER-MAN GETS CAUGHT UP IN CIVIL WAR II! There’s a new Inhuman with the ability to seemingly predict the future, and as the heroes of the Marvel Universe continue to grapple with their feelings about his very existence one thing almost everyone can agree on is that he bears a tremendous responsibility to use his powers safely. Peter Parker, aka THE AMAZING SPIDER-MAN, knows a thing or two about that -- too bad he’s also got the ol’ Parker luck working against him."
Civil War II: Gods of War (2016) #1,"The world is on the brink of chaos, with heroes on all sides of the war... but when only the best are called into action, where will the world’s first super hero land? Join us for an all-new epic Civil War II series that takes Hercules right to the front lines! As a God, is he responsible for a larger role in the potential destruction of the Marvel Universe? Or does he have the power to alter fate?!"
Civil War II: X-Men (2016) #1,"Terrigen Mists circle the globe, igniting the Inhuman race while crippling mutantkind, pitting the two nations against one another. But when a new Inhuman with the ability to profile the future emerges, the X-Men fear that he may tip the scales in the Inhumans’ favor, spelling doom for their kind. And one mutant is willing to wage war with the Inhumans AND his own people to prevent that from coming to pass… The X-Men enter the fray of CIVIL WAR II when the world’s most terrifying mutant, MAGNETO, takes mutantkind’s fate into his own hands!"
Color Your Own Civil War (Trade Paperback),"Whose side are you on? Pencil crayons or felt-tip pens? Reach a decision across 120 pages of all-out costumed warfare, featuring Steve McNiven's exquisitely rendered artwork just waiting for you to add the color! Captain America and Iron Man are the feuding Avengers leading the two sides of heroes that battle it out over the rights and wrongs of Superhuman Registration. This War is far from Civil, as friendships and teams are torn apart, and one thing's for sure - the issues are anything but black-and-white. Luckily, that's where you come in! From Shellhead's gleaming red and gold to the stars and stripes of the Sentinel of Liberty, these monochromatic Marvels are crying out to be brought to life in an eye-popping kaleidoscope of conflict. The battle lines have been drawn...now, can you stay inside them?"
Contest of Champions (2015) #9,A new team of heroes is registered for the Contest —and they are VERY pro-registration! Their next mission: exterminate the renegade champions scattered across Battleworld!
Daredevil (2015) #6,"“PRACTICE TO DECEIVE” STARTS NOW! Hell’s Kitchen knows no fury like an assassin scorned. Though Matt Murdock has somehow managed to hide his identity from the entire world, there are parts of his past he cannot escape. Elektra Natchios, is back in the Big Apple and she’s got a score to settle with The Man Without Fear!"
Daredevil (2015) #8,Losing a big case has landed A.D.A. Matt Murdock in night court for the foreseeable future--meaning less time to clean up the streets as Daredevil. Luckily Blindspot’s around to pick up the slack. But the young hero might be in over his head when he stumbles upon a horrific crime scene--one that will terrify even The Man Without Fear.\n
Daredevil (2015) #8,Losing a big case has landed A.D.A. Matt Murdock in night court for the foreseeable future--meaning less time to clean up the streets as Daredevil. Luckily Blindspot’s around to pick up the slack. But the young hero might be in over his head when he stumbles upon a horrific crime scene--one that will terrify even The Man Without Fear.\n
Daredevil/Punisher (2016) #1,"A simple change of venues for one of Matt Murdock’s cases becomes more complicated when THE PUNISHER attempts to send the defendant away…permanently! If DAREDEVIL and BLINDSPOT want to get this mobster his day in court, it will take every ounce of wit and wile they have. All Frank needs to get what he wants is a bullet. The race is on!"
Daredevil/Punisher (2016) #2,"CATCH THAT KILLER Russian gangster Antonov’s prison transport managed to evade the Punisher only to get hit by Antonov’s associates! Daredevil and Blindspot fight to keep order and reclaim Antonov, but there’s another problem…no one evades the Punisher for long.\n"
DAREDEVIL/PUNISHER: SEVENTH CIRCLE INFINITE COMIC (2016) #3,"Frank Castle’s hunt has taken him on the road, and bodies will be left in his wake. But with a DEA agent closing in on him, things could get complicated…"
Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #1,A brand new chapter in the SUSANNAH DEAN story begins here! THE GUNSLINGER has taken Odetta Holmes to Midworld to join his quest to reach the DARK TOWER! But little do ROLAND and EDDIE know that Odetta has a dark side that poses a threat to all of Midworld!
Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #2,"The Gunslinger has brought ODETTA HOLMES to Midworld, but little does he realize that her darker half, DETTA WALKER poses a threat to everything that Roland holds dear! Will Roland and Eddie come up with a way to merge her two personalities before it’s too late?! Meanwhile, Roland’s clock is ticking down as the infection spreads further!"
Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #3,"THE GUNSLINGER’S illness has reached a critical point and something drastic must be done. Despite the dire circumstances, love has begun to blossom between EDDIE DEAN and ODETTA HOLMES. But little does Eddie know, their connection will put his life at great risk...from none other than Odetta’s split personality, DETTA WALKER!\n"
Dark Tower: The Drawing of the Three - Bitter Medicine (2016) #3,"THE GUNSLINGER’S illness has reached a critical point and something drastic must be done. Despite the dire circumstances, love has begun to blossom between EDDIE DEAN and ODETTA HOLMES. But little does Eddie know, their connection will put his life at great risk...from none other than Odetta’s split personality, DETTA WALKER!\n"
Darth Vader (2015) #20,A New Story Starts Now! “END OF GAMES” begins this issue! Inspector Thanoth returns with some startling information. Vader may have passed his master’s tests...but will his own schemes prove his undoing? PLUS: A bonus tale of Triple-Zero and Beetee!\n\nStar Wars © Lucasfilm Ltd. & TM. All rights reserved. Used under authorization. Text and illustrations for Star Wars are © 2015 Lucasfilm Ltd.\n
Darth Vader (2015) #22,Vader takes on Cylo and his cybernetic operatives. The Executor moves closer to completion in time for its launch. Meanwhile — the murderbots take on their “master”.\n
Deadpool & The Mercs For Money (2016) #4,"Ever wanna see Deadpool and company on a long haul in a big rig? How about if it’s driven by an immortal, demonic trucker? I cannot hear your response — but I hope it was a yes. Because that happens in this issue!"
Deadpool & The Mercs For Money (2016) #5,The final fate of the future Recorder is revealed! Will the forces of good prevail? But more importantly--will the Mercs get their Money?\n
Deadpool (2015) #1,"Months ago, we were proud to bring you DEADPOOL TRES PUNTO UNO — a tale told all in Spanish, revealing MASACRE, the Deadpool of Mexico! Due to popular demand (because apparently you were too lazy to translate it for yourself) Marvel has taken to an unspecified Internet translation site and is re-presenting the comic in POORLY TRANSLATED ENGLISH! Just in time for the “Fifth of May!”"
Deadpool (2015) #11,"DEADPOOL VS. SABRETOOTH concludes here! Hidden secrets! Healing factors! Horrible violence! All this, plus: Magneto!"
Deadpool (2015) #12,Deadpool 2099 returns! Plus: Who is Zenpool 2099? I hope they fight! (They do!)\n
Deadpool (2015) #12,Deadpool 2099 returns! Plus: Who is Zenpool 2099? I hope they fight! (They do!)\n
Deadpool (2015) #13,"An all-new epic four-issue crossover in one package! This issue of Deadpool (lucky number 13) LITERALLY contains two issues of DEADPOOL, one issue of DAREDEVIL, and one issue of POWER MAN & IRON FIST! When Deadpool take a gig protecting a banker who betrayed his cartel partners, they seek the help of Assistant District Attorney Matt Murdock, who calls in the assistance (and fists) of Power Man Luke Cage and Danny Rand, master of the Iron Fist! A mega-violent, street-level, face-punching, gut-busting, kung-fuing, ninjitsuing crime story guaranteed to knock your teeth out! Bringing together the writers of the DEADPOOL, DAREDEVIL, and POWER MAN & IRON FIST series: Gerry Duggan, Charles Soule, and David Walker!"
Deadpool (2015) #13,"An all-new epic four-issue crossover in one package! This issue of Deadpool (lucky number 13) LITERALLY contains two issues of DEADPOOL, one issue of DAREDEVIL, and one issue of POWER MAN & IRON FIST! When Deadpool take a gig protecting a banker who betrayed his cartel partners, they seek the help of Assistant District Attorney Matt Murdock, who calls in the assistance (and fists) of Power Man Luke Cage and Danny Rand, master of the Iron Fist! A mega-violent, street-level, face-punching, gut-busting, kung-fuing, ninjitsuing crime story guaranteed to knock your teeth out! Bringing together the writers of the DEADPOOL, DAREDEVIL, and POWER MAN & IRON FIST series: Gerry Duggan, Charles Soule, and David Walker!"
Deadpool (2015) #14,"Deadpool and the Mercs for Money are clearly the best team in the Marvel Universe. So naturally when there is a cosmic-level threat, they’ll be there. Oh — also, they get along REALLY WELL. This arc is going to be all about happy people getting along, right?\n"
Deadpool (2015) #9,"DEADPOOL VS. SABRETOOTH, Parts II When two unkillable men go to war, there’s bound to be collateral damage. But this time, Deadpool is serious about it. I know, I know—how can Deadpool be serious?"
Deadpool Vs. Gambit (2016) #1,"Gambit—one of the smoothest, best-looking operators in the world of the X-Men. Deadpool—one of the most annoying, ugliest dirtbags in the world of everything. Naturally, these guys got beef. But do you know what they have in common? A secret history of working together to pull con-jobs. That’s right—the grift is on as the Regeneratin’ Degenerate and the Ragin’ Cajun begrudgingly take on one last job together. Writers Ben Acker & Ben Blacker (THUNDERBOLTS, The Thrilling Adventure Hour) and artist Danilo Beyruth (GWENPOOL) lead us into the dirty underbelly of Deadpool and the squeaky-clean abs of Gambit!"
